index,Date,Open,High,Low,Close,Volume,Name
390198,4/1/2015 16:00,40.6,40.76,40.31,40.72,36865322,MSFT
390199,4/2/2015 16:00,40.66,40.74,40.12,40.29,37487476,MSFT
390200,4/6/2015 16:00,40.34,41.78,40.18,41.55,39223692,MSFT
390201,4/7/2015 16:00,41.61,41.91,41.31,41.53,28809375,MSFT
390202,4/8/2015 16:00,41.48,41.69,41.04,41.42,24753438,MSFT
390203,4/9/2015 16:00,41.25,41.62,41.25,41.48,25723861,MSFT
390204,4/10/2015 16:00,41.63,41.95,41.41,41.72,28022002,MSFT
390205,4/13/2015 16:00,41.4,42.06,41.39,41.76,30276692,MSFT
390206,4/14/2015 16:00,41.8,42.03,41.39,41.65,24244382,MSFT
390207,4/15/2015 16:00,41.76,42.46,41.68,42.26,27343581,MSFT
390208,4/16/2015 16:00,41.95,42.34,41.82,42.16,22509652,MSFT
390209,4/17/2015 16:00,41.67,41.74,41.16,41.62,42387608,MSFT
390210,4/20/2015 16:00,41.73,43.17,41.68,42.91,46057733,MSFT
390211,4/21/2015 16:00,43,43.15,42.53,42.64,26013844,MSFT
390212,4/22/2015 16:00,42.67,43.13,42.55,42.99,25064273,MSFT
390213,4/23/2015 16:00,42.85,43.61,42.8,43.34,46309530,MSFT
390214,4/24/2015 16:00,45.66,48.14,45.65,47.87,130933665,MSFT
390215,4/27/2015 16:00,47.23,48.13,47.22,48.03,59248172,MSFT
390216,4/28/2015 16:00,47.78,49.21,47.7,49.16,60730778,MSFT
390217,4/29/2015 16:00,48.72,49.31,48.5,49.06,47804562,MSFT
390218,4/30/2015 16:00,48.7,49.54,48.6,48.64,64725457,MSFT
390219,5/1/2015 16:00,48.58,48.88,48.4,48.66,38937336,MSFT
390220,5/4/2015 16:00,48.37,48.87,48.18,48.24,34039485,MSFT
390221,5/5/2015 16:00,47.82,48.16,47.31,47.6,50369191,MSFT
390222,5/6/2015 16:00,47.57,47.77,46.02,46.28,52433020,MSFT
390223,5/7/2015 16:00,46.27,47.09,46.16,46.7,32971654,MSFT
390224,5/8/2015 16:00,47.55,47.98,47.52,47.75,35364911,MSFT
390225,5/11/2015 16:00,47.55,47.91,47.37,47.37,24609416,MSFT
390226,5/12/2015 16:00,46.85,47.68,46.42,47.35,29928264,MSFT
390227,5/13/2015 16:00,48.19,48.32,47.57,47.63,34184613,MSFT
390228,5/14/2015 16:00,48.03,48.82,48.03,48.72,32980892,MSFT
390229,5/15/2015 16:00,48.87,48.91,48.05,48.3,28642694,MSFT
390230,5/18/2015 16:00,47.98,48.22,47.61,48.01,24136502,MSFT
390231,5/19/2015 16:00,47.62,47.81,47.18,47.58,28574813,MSFT
390232,5/20/2015 16:00,47.39,47.93,47.27,47.58,25047919,MSFT
390233,5/21/2015 16:00,47.28,47.6,47.01,47.42,22410698,MSFT
390234,5/22/2015 16:00,47.3,47.35,46.82,46.9,25720583,MSFT
390235,5/26/2015 16:00,46.83,46.88,46.19,46.59,29581860,MSFT
390236,5/27/2015 16:00,46.82,47.77,46.62,47.61,27335639,MSFT
390237,5/28/2015 16:00,47.5,48.02,47.39,47.45,19283666,MSFT
390238,5/29/2015 16:00,47.43,47.57,46.59,46.86,36519594,MSFT
390239,6/1/2015 16:00,47.06,47.77,46.62,47.23,28837332,MSFT
390240,6/2/2015 16:00,46.95,47.35,46.62,46.92,21498326,MSFT
390241,6/3/2015 16:00,47.37,47.74,46.82,46.85,28002154,MSFT
390242,6/4/2015 16:00,46.79,47.16,46.2,46.36,27745512,MSFT
390243,6/5/2015 16:00,46.31,46.52,45.84,46.14,25438086,MSFT
390244,6/8/2015 16:00,46.3,46.43,45.67,45.73,22121634,MSFT
